seq,type,frames,fk_err_cm,worst_kp,worst_kp_cm,min_foot_z,spike_pct,contact_agree,limit_over_pct
obstacles4_subject2,obstacle,7401,13.394578839245105,RightArm->right_elbow_link,26.33692649641814,-0.25899407267570496,0.06988803936094377,98.10836373463046,0.16586761341663986
obstacles6_subject5,obstacle,7551,13.41290692421469,LeftArm->left_elbow_link,24.084227884604903,0.11215764284133911,0.03196653560387069,91.54416633558469,0.12010284091168559
run1_subject2,run,7135,13.422747082564781,Spine2->torso_link,24.710769872660947,0.10276326537132263,0.1271053331077979,92.01822004204625,0.33540342652780125
sprint1_subject2,sprint,8194,13.43515484287525,RightArm->right_elbow_link,26.940179104614575,0.08940070867538452,0.09384494962672435,93.17793507444472,0.3008929999242507
fightAndSports1_subject1,fight,7355,13.437121953367873,Spine2->torso_link,24.3384257315821,0.14896820485591888,0.4768044257952601,79.51053704962611,0.548536065074193
fightAndSports1_subject4,fight,7355,13.46345598497119,Spine2->torso_link,24.420274924746728,0.13057412207126617,0.7595114747181134,78.137321549966,0.2723926955624839
multipleActions1_subject3,multiple,4587,13.471737789027635,LeftArm->left_elbow_link,24.434104919349625,0.11436827480792999,0.33678386444449454,67.60409853935033,0.4006825887252581
dance2_subject3,dance,6771,13.474040543668947,Spine2->torso_link,24.43014377243603,0.0407244935631752,0.9854399339984418,83.84285925269532,0.4471401871062697
multipleActions1_subject2,multiple,4587,13.475277950194132,RightArm->right_elbow_link,25.925145275834716,0.014558867551386356,0.17891642798613774,71.74623937213866,0.33678386444449454
walk1_subject1,walk,7840,13.481218705368999,LeftArm->left_elbow_link,27.807420327130593,0.05426386743783951,0.05058057705840957,88.2716836734694,0.06949331456720619
dance2_subject4,dance,6771,13.490231968270491,Spine2->torso_link,24.494618994746652,0.023461874574422836,0.7735830799708697,86.27233791168217,0.4481587296737099
fight1_subject2,fight,7347,13.492597619493274,RightArm->right_elbow_link,24.998956639446796,0.09115757793188095,0.4698140925453974,85.70845242956308,0.5439705626974182
obstacles2_subject5,obstacle,7323,13.515131786320525,LeftArm->left_elbow_link,25.344422328370193,-0.06082789599895477,0.2853550692904265,94.3534070736037,0.32067129073726147
multipleActions1_subject4,multiple,4587,13.520242668147331,RightArm->right_elbow_link,25.76805487219756,0.08184259384870529,0.16162618494546055,53.73882712012208,0.5450185306300415
pushAndStumble1_subject2,push,6801,13.52461235843635,RightArm->right_elbow_link,26.66309036368975,-0.013067539781332016,0.16478306942690985,87.36215262461403,0.4223516825618951
walk2_subject3,walk,7146,13.558557971807101,LeftArm->left_elbow_link,26.639045146348373,-0.10404444485902786,0.14958935309842977,81.72404142177442,0.6084908847003869
obstacles5_subject3,obstacle,7386,13.586947679839396,RightArm->right_elbow_link,25.657130854511877,-0.07991243153810501,0.21429171685481388,93.83292715949094,0.747453243321475
jumps1_subject2,jump,7334,13.607177254451846,Spine2->torso_link,24.617843268416596,0.03287952393293381,0.1866601468831987,70.24134169620943,0.5087311811778866
fallAndGetUp1_subject1,fall,5047,13.622612442062035,Spine2->torso_link,24.19388329724224,0.1683512032032013,0.44820070646269894,68.981573211809,0.3470822543948949
obstacles1_subject2,obstacle,5391,13.648511406439184,RightArm->right_elbow_link,24.83682847931479,-0.08384010940790176,0.13432348934047167,95.25134483398257,0.23474628851406237
obstacles3_subject3,obstacle,3933,13.685047338576926,LeftArm->left_elbow_link,27.797843013197603,0.11475594341754913,0.1464180190606451,88.18967709127892,0.6891291196507009
push1_subject2,push,3066,13.807066665246992,RightArm->right_elbow_link,25.861759354789765,0.012021001428365707,0.13608655554805765,90.6392694063927,0.25305351238275187
obstacles2_subject2,obstacle,7323,13.828457976388723,RightArm->right_elbow_link,24.82533150955321,0.08692450076341629,0.2877094840535488,89.85388501980063,0.605084594122439
fallAndGetUp3_subject1,fall,3066,13.85495846181675,RightArm->right_elbow_link,25.010622264836545,-0.026513900607824326,0.45099759317992666,51.90802348336595,0.4127583957531997
dance2_subject2,dance,6771,13.872521169575627,Spine2->torso_link,24.667403646941597,0.05688278004527092,0.8138155113847596,82.29951262738147,0.5530686141200556
aiming2_subject3,aim,9172,13.875154569543296,Spine2->torso_link,24.161959358898198,0.10073956102132797,0.26241785343699714,70.41539467945923,0.8180820187376875
pushAndFall1_subject4,push,4959,13.900257410908937,LeftArm->left_elbow_link,25.593922761957117,0.11454487591981888,0.8163492361502249,81.63944343617665,0.6000931778514856
dance1_subject2,dance,3945,13.952928152031793,Spine2->torso_link,24.67979726901873,-0.015310997143387794,1.2648048599274506,79.3789607097592,0.6643066299549845
obstacles4_subject3,obstacle,7401,13.972698377775734,RightArm->right_elbow_link,24.733542188436616,-0.14463934302330017,0.2888705626919009,94.18997432779355,0.7189149648929082
fallAndGetUp1_subject5,fall,5047,14.182548281739468,RightArm->right_elbow_link,24.63548841538421,0.020138977095484734,0.5336048044929388,76.12443035466615,0.8888858522987366
fallAndGetUp2_subject3,fall,4918,14.20247261955514,RightArm->right_elbow_link,25.103406991866535,0.14157035946846008,0.23418546928243889,63.11508743391623,0.918511870538907
obstacles5_subject2,obstacle,7386,14.393443224459862,Spine2->torso_link,24.51830083012121,-0.2863399386405945,0.12512021812002203,92.28946655835364,0.7908718264750647
ground1_subject1,ground,4742,14.453847745335649,Spine2->torso_link,24.642724564601927,0.41774022579193115,0.2145173722712663,83.46689160691692,0.17961285068136534
fallAndGetUp1_subject4,fall,5047,14.628141498869685,LeftArm->left_elbow_link,24.405484459457213,0.09697417914867401,0.5274557094347615,87.81454329304538,1.7374609703272001
fallAndGetUp2_subject2,fall,4918,14.71688611035119,Spine2->torso_link,24.409039773342794,0.07593418657779694,0.36880705641485884,90.35176901179341,1.119743097137889
aiming1_subject4,aim,7184,14.72326175075801,Spine2->torso_link,24.39423625327653,0.02963186241686344,0.31631595115582517,91.20267260579065,0.18527762844635587
obstacles5_subject4,obstacle,7386,14.734241422742905,LeftArm->left_elbow_link,25.17201578644836,-0.08643831312656403,0.2105567849706341,52.64689953966965,1.665779620344174
obstacles6_subject1,obstacle,7551,14.984245935544784,RightArm->right_elbow_link,27.408585372318456,-0.2826319634914398,0.16896597390617366,71.30843596874587,1.7307595705524272
obstacles6_subject4,obstacle,7551,15.040144506631528,Spine2->torso_link,23.57616676461363,-0.19835558533668518,0.5845309367564926,80.48602834061714,0.9055662871782225
ground1_subject4,ground,4742,15.167757703300092,Spine2->torso_link,24.35373101349464,0.49320006370544434,0.7097252723279861,88.54913538591312,0.44285111767186847
ground2_subject3,ground,5550,15.706585790021954,RightArm->right_elbow_link,24.77489551640118,0.09730906784534454,0.5138241689965828,69.16216216216216,1.651444547996272
ground1_subject5,ground,4742,15.738137730365004,Spine2->torso_link,24.29764681578894,0.07826025784015656,0.8333454529588854,92.84057359763813,0.49593507758984273
ground2_subject2,ground,5550,15.919599841828974,Spine2->torso_link,24.302298792900054,-0.017997218295931816,0.6008077042559801,74.38738738738738,1.3401677539608574
